ID,Season,Date,Home Team Api ID,Away Team Api ID,Home Team Goals,Away Team Goals
307,2009/2010,2009-07-31,9985,9997,2,2
309,2009/2010,2009-08-02,9984,9991,1,3
310,2009/2010,2009-08-01,9994,10000,1,1
313,2009/2010,2009-08-01,9999,9993,1,1
315,2009/2010,2009-10-04,9985,9987,1,0
316,2009/2010,2009-10-03,9997,10000,1,2
317,2009/2010,2009-10-03,9986,8571,3,3
318,2009/2010,2009-10-03,8203,9994,2,0
319,2009/2010,2009-10-03,9999,9984,3,2
323,2009/2010,2009-10-18,9987,8203,1,2
324,2009/2010,2009-10-17,10000,9993,4,0
325,2009/2010,2009-10-17,9994,9984,1,1
326,2009/2010,2009-10-17,8571,9999,2,0
328,2009/2010,2009-10-24,9985,10000,1,1
329,2009/2010,2009-10-24,9997,9991,1,2
331,2009/2010,2009-10-24,9984,8571,1,1
332,2009/2010,2009-10-23,9994,9987,0,2
337,2009/2010,2009-11-02,9987,9984,2,0
338,2009/2010,2009-10-31,10000,9986,2,2
339,2009/2010,2009-11-01,9991,9993,0,1
340,2009/2010,2009-10-31,8571,8203,2,0
344,2009/2010,2009-11-06,9986,9991,0,2
346,2009/2010,2009-11-07,9994,8571,0,0
347,2009/2010,2009-11-07,9999,10000,2,0
348,2009/2010,2009-11-07,9993,9997,4,1
351,2009/2010,2009-11-21,9997,9984,1,1
352,2009/2010,2009-11-22,10000,8203,4,1
353,2009/2010,2009-11-21,9991,9985,2,1
354,2009/2010,2009-11-22,8571,9987,2,1
358,2009/2010,2009-11-29,9997,9985,2,0
359,2009/2010,2009-11-29,10000,9994,1,0
360,2009/2010,2009-11-28,9991,9984,3,1
362,2009/2010,2009-11-28,9993,9999,3,0
363,2009/2010,2009-12-05,9985,9993,2,2
365,2009/2010,2009-12-05,9986,9997,0,0
368,2009/2010,2009-12-05,8571,10000,1,0
369,2009/2010,2009-12-04,8203,9991,2,5
371,2009/2010,2009-12-12,9985,9999,0,1
372,2009/2010,2009-12-12,9997,8571,0,2
373,2009/2010,2009-12-13,10000,9984,1,0
374,2009/2010,2009-12-13,9991,9987,2,1
376,2009/2010,2009-12-12,9993,9986,0,0
378,2009/2010,2009-12-19,9987,10000,2,2
379,2009/2010,2010-02-04,9986,9985,2,3
380,2009/2010,2009-12-19,9994,9991,0,1
382,2009/2010,2010-02-02,8203,9993,1,0
383,2009/2010,2009-12-19,9999,9997,1,2
386,2009/2010,2009-08-08,9997,9986,0,0
387,2009/2010,2009-08-08,10000,9987,2,2
388,2009/2010,2009-08-09,9991,8203,2,1
390,2009/2010,2009-08-07,9993,9985,1,1
392,2009/2010,2009-12-26,9985,9994,2,0
393,2009/2010,2009-12-26,9997,8203,5,2
395,2009/2010,2009-12-26,9986,9999,3,0
397,2009/2010,2009-12-26,9993,9987,1,0
399,2009/2010,2009-12-29,9987,9997,0,0
400,2009/2010,2009-12-29,9984,9985,2,0
401,2009/2010,2009-12-30,9994,9993,2,0
403,2009/2010,2009-12-30,8203,9986,1,0
404,2009/2010,2009-12-30,9999,9991,0,4
407,2009/2010,2010-01-16,9997,9994,2,1
408,2009/2010,2010-01-16,9986,9987,1,3
409,2009/2010,2010-01-15,9991,8571,2,2
410,2009/2010,2010-01-16,9999,8203,1,2
411,2009/2010,2010-01-17,9993,9984,1,4
413,2009/2010,2010-01-23,10000,9997,2,0
414,2009/2010,2010-02-24,9984,9986,1,0
415,2009/2010,2010-01-23,9994,9999,1,4
416,2009/2010,2010-01-23,8571,9993,3,0
417,2009/2010,2010-01-24,8203,9985,0,0
419,2009/2010,2010-01-31,9985,8571,3,1
421,2009/2010,2010-03-10,9986,9994,4,1
422,2009/2010,2010-01-31,9991,10000,0,2
423,2009/2010,2010-01-30,8203,9984,1,2
424,2009/2010,2010-02-24,9999,9987,1,1
427,2009/2010,2010-02-07,9987,9985,1,0
429,2009/2010,2010-02-06,9984,9999,2,0
430,2009/2010,2010-02-06,9994,8203,2,1
431,2009/2010,2010-02-07,8571,9986,2,1
435,2009/2010,2010-03-06,9984,9994,4,0
437,2009/2010,2010-03-07,8203,9987,2,1
438,2009/2010,2010-02-13,9999,8571,0,2
439,2009/2010,2010-03-07,9993,10000,1,1
442,2009/2010,2010-02-19,9987,9994,3,1
443,2009/2010,2010-02-20,10000,9999,1,1
444,2009/2010,2010-02-20,9991,9997,0,1
445,2009/2010,2010-02-20,8571,9984,3,1
448,2009/2010,2010-02-28,9986,10000,0,0
449,2009/2010,2010-02-27,9984,9987,1,0
451,2009/2010,2010-02-27,8203,8571,1,1
453,2009/2010,2010-02-26,9993,9991,1,1
456,2009/2010,2010-03-14,9997,9993,2,0
457,2009/2010,2010-03-14,10000,9985,1,1
458,2009/2010,2010-03-14,9991,9986,2,1
459,2009/2010,2010-03-14,8571,9994,3,1
462,2009/2010,2009-08-15,9987,9991,1,1
463,2009/2010,2009-08-16,9986,9993,1,0
464,2009/2010,2009-08-15,9984,10000,2,2
465,2009/2010,2009-08-15,9994,9997,1,2
467,2009/2010,2009-08-15,9999,9985,1,5
468,2009/2010,2010-03-21,9985,9991,0,2
469,2009/2010,2010-03-21,9987,8571,1,1
470,2009/2010,2010-03-21,9984,9997,3,1
472,2009/2010,2010-03-21,8203,10000,2,1
476,2009/2010,2009-08-21,9985,9986,1,1
477,2009/2010,2009-08-22,9997,9999,2,1
479,2009/2010,2009-08-22,9991,9994,4,1
481,2009/2010,2009-08-22,9993,8203,1,3
483,2009/2010,2009-08-30,9987,9993,1,1
485,2009/2010,2009-08-29,8571,9991,1,0
486,2009/2010,2009-08-29,8203,9997,0,2
487,2009/2010,2009-08-29,9999,9986,1,3
490,2009/2010,2009-09-12,9985,8203,3,0
492,2009/2010,2009-09-12,10000,8571,0,2
493,2009/2010,2009-09-12,9986,9984,0,4
494,2009/2010,2009-09-12,9991,9999,5,1
495,2009/2010,2009-09-13,9993,9994,2,1
497,2009/2010,2009-09-18,9987,9986,1,2
498,2009/2010,2009-09-19,9984,9993,1,2
499,2009/2010,2009-09-19,9994,9985,1,3
500,2009/2010,2009-09-19,8571,9997,0,1
501,2009/2010,2009-09-19,8203,9999,3,2
504,2009/2010,2009-09-23,9985,9984,1,1
505,2009/2010,2009-09-22,9997,9987,2,4
506,2009/2010,2009-09-23,9986,8203,1,2
508,2009/2010,2009-09-23,9999,9994,1,2
509,2009/2010,2009-09-23,9993,8571,1,0
511,2009/2010,2009-09-26,9987,9999,1,1
512,2009/2010,2009-09-26,10000,9991,3,1
513,2009/2010,2009-09-28,9984,8203,1,0
514,2009/2010,2009-09-26,9994,9986,4,1
515,2009/2010,2009-09-26,8571,9985,0,2
519,2010/2011,2010-07-31,8203,9994,2,0
522,2010/2011,2010-07-30,9985,10000,1,1
523,2010/2011,2010-08-01,9984,9986,1,1
