Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
yandex.direct,2019-03-04,1329613,167879307,414198671,572135383,0.0,1,0
yandex.direct,2019-03-04,1329627,167879135,408701915,572132825,0.0,1,0
yandex.direct,2019-03-04,1329621,167879119,408702007,572132685,0.0,830,0
yandex.direct,2019-03-04,1329619,167879363,408701389,572133179,0.0,2,0
yandex.direct,2019-03-04,1329609,167879299,408701505,572132957,0.0,1,0
yandex.direct,2019-03-04,1329639,167879125,408701783,572134289,0.0,158,0
yandex.direct,2019-03-04,1329641,167879345,408701991,572133099,0.0,1,0
yandex.direct,2019-03-04,1329615,167879069,414198653,572134069,0.0,19,0
yandex.direct,2019-03-04,1329635,167879167,408701529,572134613,0.0,1,0
yandex.direct,2019-03-04,1329623,167879329,408701737,572135639,12.55,2,1
yandex.direct,2019-03-04,1329609,167879291,408701489,572132907,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132451,0.0,3,0
yandex.direct,2019-03-04,1329643,167879101,408701839,572134213,0.0,20,0
yandex.direct,2019-03-04,1329625,167879081,408701699,572136079,0.0,3,0
yandex.direct,2019-03-04,1329645,167879287,408701775,572135367,0.0,1,0
google.adwords,2019-03-04,1329691,167881573,414199219,572141801,0.0,2,0
yandex.direct,2019-03-04,1329631,167879257,408701329,572135081,0.0,2,0
yandex.direct,2019-03-04,1329613,167879311,414198635,572135473,0.0,4,0
yandex.direct,2019-03-04,1329639,167879125,408701783,572134287,0.0,48,0
yandex.direct,2019-03-04,1329637,167879371,408701447,572135903,0.0,1,0
yandex.direct,2019-03-04,1329611,167879055,408701743,572133873,0.0,2,0
yandex.direct,2019-03-04,1329625,167879087,408701711,572132609,0.0,4,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132479,0.0,1,0
yandex.direct,2019-03-04,1329619,167879367,408701399,572133229,0.0,1,0
yandex.direct,2019-03-04,1329643,167879091,408701871,572134165,0.0,18,0
